Utterance,Sentiment,cleanText,prediction
那我就输了,neutral,那 我 就 输 了,"{'label': 'negative', 'score': 0.4315750002861023}"
你虽然扣掉奖金,neutral,你 虽然 扣掉 奖金,"{'label': 'neutral', 'score': 0.6301707625389099}"
还可以拿到200块的心理补偿,neutral,还 可以 拿到 200 块 的 心理 补偿,"{'label': 'positive', 'score': 0.5292152762413025}"
如果要是如我所说,neutral,如果 要是 如 我 所 说,"{'label': 'neutral', 'score': 0.6133860945701599}"
领导没有发现,neutral,领导 没有 发现,"{'label': 'negative', 'score': 0.6024840474128723}"
你虽然输我500块,neutral,你 虽然 输 我 500 块,"{'label': 'positive', 'score': 0.4522503912448883}"
但你依旧保持着完美主播的形象,neutral,但 你 依旧 保持 着 完美 主播 的 形象,"{'label': 'positive', 'score': 0.7956283688545227}"
无论怎么样你都不吃亏,neutral,无论 怎么样 你 都 不 吃亏,"{'label': 'positive', 'score': 0.3797956109046936}"
听起来好像很有道理,positive,听 起来 好像 很 有 道理,"{'label': 'neutral', 'score': 0.7393536567687988}"
你认真的,positive,你 认真 的,"{'label': 'neutral', 'score': 0.48636677861213684}"
当然,positive,当然,"{'label': 'neutral', 'score': 0.4006507694721222}"
好兄弟一言为定,positive,好 兄弟 一言为定,"{'label': 'positive', 'score': 0.7940325736999512}"
谁让你是我的僚机呢,positive,谁 让 你 是 我 的 僚机 呢,"{'label': 'negative', 'score': 0.8118014335632324}"
什么机,positive,什么 机,"{'label': 'negative', 'score': 0.79049152135849}"
喂 你在干什么,negative,喂 你 在 干什么,"{'label': 'negative', 'score': 0.8204460740089417}"
不好意思,negative,不好意思,"{'label': 'neutral', 'score': 0.40421053767204285}"
我不知道这里已经有房客了,negative,我 不 知道 这里 已经 有 房客 了,"{'label': 'negative', 'score': 0.547961413860321}"
你是来合租的,positive,你 是 来 合租 的,"{'label': 'neutral', 'score': 0.8287022113800049}"
我知道规矩 情侣入住,positive,我 知道 规矩 情侣 入住,"{'label': 'neutral', 'score': 0.5081271529197693}"
房租减半,positive,房租 减半,"{'label': 'neutral', 'score': 0.6636337041854858}"
可惜我已经名花有主了,negative,可惜 我 已经 名花有主 了,"{'label': 'negative', 'score': 0.41373565793037415}"
不不不 你误会了,negative,不 不 不 你 误会 了,"{'label': 'negative', 'score': 0.8881282806396484}"
我是来拿点东西,negative,我 是 来 拿 点 东西,"{'label': 'neutral', 'score': 0.4833216667175293}"
我之前住在这里,negative,我 之前 住 在 这里,"{'label': 'negative', 'score': 0.4132941663265228}"
什么东西,neutral,什么 东西,"{'label': 'negative', 'score': 0.5674303770065308}"
我的专用床头柜 我买的,negative,我 的 专用 床头 柜 我 买 的,"{'label': 'neutral', 'score': 0.45409947633743286}"
你买的 我说哪来一个这么丑的床头柜,negative,你 买 的 我 说 哪 来 一个 这么 丑 的 床头 柜,"{'label': 'negative', 'score': 0.5849586129188538}"
我可以拿回去了吗,negative,我 可以 拿 回去 了 吗,"{'label': 'neutral', 'score': 0.3658985495567322}"
拿回去做梦,negative,拿 回去 做梦,"{'label': 'negative', 'score': 0.6310359239578247}"
老子花了一天的时间才把它重新刷了漆,negative,老子 花 了 一 天 的 时间 才 把 它 重新 刷 了 漆,"{'label': 'negative', 'score': 0.877708911895752}"
现在终于能看了,negative,现在 终于 能 看 了,"{'label': 'positive', 'score': 0.7407512664794922}"
你想拿回去,negative,你 想 拿 回去,"{'label': 'neutral', 'score': 0.38473597168922424}"
没关系没关系,negative,没关系 没关系,"{'label': 'neutral', 'score': 0.4190571904182434}"
床头柜你留着吧里面的东西,negative,床 头柜 你 留 着 吧 里面 的 东西,"{'label': 'neutral', 'score': 0.5224633812904358}"
里面的东西 你居然还敢提,negative,里面 的 东西 你 居然 还 敢 提,"{'label': 'negative', 'score': 0.946169376373291}"
一个柜子里乱七八糟的什么都有,negative,一个 柜子 里 乱七八糟 的 什么 都 有,"{'label': 'negative', 'score': 0.5604092478752136}"
从用过的纸巾到啃过的苹果核,negative,从 用 过 的 纸巾 到 啃 过 的 苹果 核,"{'label': 'positive', 'score': 0.6020369529724121}"
还有一堆打翻的化妆品,negative,还有 一 堆 打翻 的 化妆品,"{'label': 'negative', 'score': 0.8872679471969604}"
我最看不得恶心的东西了,negative,我 最 看 不得 恶心 的 东西 了,"{'label': 'negative', 'score': 0.7896712422370911}"
我有洁癖的你知道吗,negative,我 有 洁癖 的 你 知道 吗,"{'label': 'negative', 'score': 0.7634393572807312}"
最烦你们这些姑娘,negative,最烦 你们 这些 姑娘,"{'label': 'neutral', 'score': 0.5716973543167114}"
一个个都以为自己是公主,negative,一个个 都 以为 自己 是 公主,"{'label': 'neutral', 'score': 0.48598000407218933}"
光顾着自己光鲜亮丽,negative,光顾 着 自己 光鲜 亮丽,"{'label': 'negative', 'score': 0.676828145980835}"
喜新厌旧,negative,喜新厌旧,"{'label': 'negative', 'score': 0.624721109867096}"
始乱终弃,negative,始乱终弃,"{'label': 'negative', 'score': 0.703330397605896}"
现在后悔了,negative,现在 后悔 了,"{'label': 'negative', 'score': 0.7864801287651062}"
已然晚啦,negative,已然 晚 啦,"{'label': 'neutral', 'score': 0.49213308095932007}"
曾小贤,negative,曾 小贤,"{'label': 'negative', 'score': 0.8557233214378357}"
这个问题很严重,negative,这个 问题 很 严重,"{'label': 'negative', 'score': 0.9281783103942871}"
领导在你批评我之前,negative,领导 在 你 批评 我 之前,"{'label': 'negative', 'score': 0.7039616107940674}"
我想先说两句,negative,我 想 先 说 两 句,"{'label': 'neutral', 'score': 0.5345118641853333}"
我真的非常热爱主持这项工作,negative,我 真的 非常 热爱 主持 这项 工作,"{'label': 'neutral', 'score': 0.8239403367042542}"
而且我真的保证以后这种低级的错误不会再发生了,negative,而且 我 真的 保证 以后 这种 低级 的 错误 不 会 再 发生 了,"{'label': 'negative', 'score': 0.6259881258010864}"
发生什么,negative,发生 什么,"{'label': 'negative', 'score': 0.4895665943622589}"
你不是说问题很严重吗,negative,你 不是 说 问题 很 严重 吗,"{'label': 'negative', 'score': 0.8685477375984192}"
是很严重,negative,是 很 严重,"{'label': 'negative', 'score': 0.9303852319717407}"
最近我订阅了吕小布的新浪微博,neutral,最近 我 订阅 了 吕小布 的 新浪 微博,"{'label': 'neutral', 'score': 0.8103029131889343}"
可是他最近总是在连载一些什么飞机小鸟之类的文章,negative,可是 他 最近 总是 在 连载 一些 什么 飞机 小鸟 之类 的 文章,"{'label': 'negative', 'score': 0.7641816139221191}"
我是越来越看不懂,negative,我 是 越来越 看 不 懂,"{'label': 'negative', 'score': 0.651308536529541}"
你是他室友这其中有什么玄机,negative,你 是 他 室友 这 其中 有 什么 玄机,"{'label': 'neutral', 'score': 0.6765425801277161}"
这个可能是某种暗语,negative,这个 可能 是 某种 暗语,"{'label': 'negative', 'score': 0.5273475646972656}"
这个男人会暗语,positive,这个 男人 会 暗语,"{'label': 'neutral', 'score': 0.491207093000412}"
够神秘,positive,够 神秘,"{'label': 'neutral', 'score': 0.4367472529411316}"
够酷,positive,够 酷,"{'label': 'positive', 'score': 0.8938543796539307}"
你也看吕小布的微博,negative,你 也 看吕 小布 的 微博,"{'label': 'negative', 'score': 0.503118097782135}"
这是我和他分开以后,negative,这是 我 和 他 分开 以后,"{'label': 'negative', 'score': 0.7963341474533081}"
唯一可以精神沟通的桥梁了,negative,唯一 可以 精神 沟通 的 桥梁 了,"{'label': 'negative', 'score': 0.5603704452514648}"
我还经常匿名留言,negative,我 还 经常 匿名 留言,"{'label': 'positive', 'score': 0.7465075850486755}"
他迟早会感受到我一直和他在一起,negative,他 迟早 会 感受 到 我 一直 和 他 在一起,"{'label': 'negative', 'score': 0.8978885412216187}"
你来找我就为了这事儿,negative,你 来 找 我 就 为了 这 事儿,"{'label': 'negative', 'score': 0.6820878982543945}"
当然不是,neutral,当然 不是,"{'label': 'neutral', 'score': 0.577907919883728}"
还有你的节目,negative,还有 你 的 节目,"{'label': 'neutral', 'score': 0.4391414523124695}"
我就知道人生自古谁无死,negative,我 就 知道 人生自古谁无死,"{'label': 'neutral', 'score': 0.6833490133285522}"
早死晚死都得死,negative,早死 晚死 都 得 死,"{'label': 'negative', 'score': 0.8593029975891113}"
为了迎接优秀节目主持人的评选,neutral,为了 迎接 优秀 节目 主持人 的 评选,"{'label': 'neutral', 'score': 0.9093483686447144}"
集团要求你加开一档爱情故事的栏目,neutral,集团 要求 你 加开 一档 爱情 故事 的 栏目,"{'label': 'neutral', 'score': 0.96845543384552}"
好好表现,neutral,好好 表现,"{'label': 'positive', 'score': 0.6601439118385315}"
你是说我还有参加评比的资格,negative,你 是 说 我 还有 参加 评比 的 资格,"{'label': 'negative', 'score': 0.630305290222168}"
你要放弃,neutral,你 要 放弃,"{'label': 'negative', 'score': 0.851387083530426}"
当然不是话说Lisa,positive,当然 不是 话说 Lisa,"{'label': 'positive', 'score': 0.4700004756450653}"
你最近有没有收听我的节目,neutral,你 最近 有 没有 收听 我 的 节目,"{'label': 'positive', 'score': 0.5045377612113953}"
有没有什么宝贵的意见,neutral,有 没有 什么 宝贵 的 意见,"{'label': 'neutral', 'score': 0.5709630250930786}"
音乐优美,neutral,音乐 优美,"{'label': 'positive', 'score': 0.7251109480857849}"
内容充实,neutral,内容 充实,"{'label': 'neutral', 'score': 0.5083364248275757}"
主题明确,neutral,主题 明确,"{'label': 'neutral', 'score': 0.7915076613426208}"
引人入胜,neutral,引人入胜,"{'label': 'neutral', 'score': 0.5672529935836792}"
继续保持,neutral,继续 保持,"{'label': 'positive', 'score': 0.5957098007202148}"
你就是明日之星,neutral,你 就是 明日 之 星,"{'label': 'positive', 'score': 0.8149773478507996}"
我输了,negative,我 输 了,"{'label': 'negative', 'score': 0.6693370938301086}"
Lisa没听我的节目,negative,Lisa 没 听 我 的 节目,"{'label': 'neutral', 'score': 0.5493432283401489}"
也没接到任何的投诉信,negative,也 没 接到 任何 的 投诉 信,"{'label': 'neutral', 'score': 0.764057993888855}"
我说什么来着,positive,我 说 什么 来着,"{'label': 'negative', 'score': 0.7078562378883362}"
你运气很好,negative,你 运气 很 好,"{'label': 'neutral', 'score': 0.5784083008766174}"
我运气也很好,negative,我 运气 也 很 好,"{'label': 'positive', 'score': 0.5382976531982422}"
不是运气,positive,不是 运气,"{'label': 'negative', 'score': 0.5439146757125854}"
相信哥 哥不只是个传说,positive,相信 哥 哥 不只 是 个 传说,"{'label': 'positive', 'score': 0.678321897983551}"
没有10成的把握,positive,没有 10 成 的 把握,"{'label': 'negative', 'score': 0.6918986439704895}"
我怎么会跟你赌呢,positive,我 怎么 会 跟 你 赌 呢,"{'label': 'negative', 'score': 0.3893737196922302}"
你怎么会有10成的把握,negative,你 怎么 会 有 10 成 的 把握,"{'label': 'negative', 'score': 0.9312275052070618}"
很简单,negative,很 简单,"{'label': 'neutral', 'score': 0.5029414892196655}"
因为真的没人听你的节目,neutral,因为 真的 没 人 听 你 的 节目,"{'label': 'negative', 'score': 0.8264636993408203}"
胡说 这只是一个巧合,negative,胡说 这 只是 一个 巧合,"{'label': 'negative', 'score': 0.7189379930496216}"
我不是打击你,neutral,我 不是 打击 你,"{'label': 'negative', 'score': 0.8764855861663818}"
只是希望你认清现实,neutral,只是 希望 你 认清 现实,"{'label': 'neutral', 'score': 0.8793416619300842}"
现实就是Lisa希望我增开一个爱情故事的环节,negative,现实 就是 Lisa 希望 我 增开 一个 爱情 故事 的 环节,"{'label': 'positive', 'score': 0.49230480194091797}"
他很看好我,negative,他 很 看好 我,"{'label': 'neutral', 'score': 0.49346598982810974}"
而且正在给我更多的机会,negative,而且 正在 给 我 更 多 的 机会,"{'label': 'neutral', 'score': 0.6467671990394592}"
不服,neutral,不服,"{'label': 'neutral', 'score': 0.4537879526615143}"
还想赌吗,positive,还 想 赌 吗,"{'label': 'neutral', 'score': 0.42423781752586365}"
赌什么,negative,赌 什么,"{'label': 'negative', 'score': 0.6458338499069214}"
把钱赢回去的机会,positive,把 钱 赢 回去 的 机会,"{'label': 'positive', 'score': 0.5758364200592041}"
这有个信封,positive,这 有 个 信封,"{'label': 'neutral', 'score': 0.6229956746101379}"
等到你读爱情故事的时候把它打开,neutral,等到 你 读 爱情 故事 的 时候 把 它 打开,"{'label': 'neutral', 'score': 0.7362011671066284}"
只要你把里边内容大声读出来,neutral,只要 你 把 里边 内容 大声 读 出来,"{'label': 'positive', 'score': 0.5381942391395569}"
500块立刻奉还,neutral,500 块 立刻 奉 还,"{'label': 'neutral', 'score': 0.6379488706588745}"
你以为我傻,negative,你 以为 我 傻,"{'label': 'negative', 'score': 0.8378570675849915}"
我才不会拿我的职业生涯来开玩笑,negative,我 才 不 会 拿 我 的 职业 生涯 来 开玩笑,"{'label': 'negative', 'score': 0.8244706392288208}"
放心,positive,放心,"{'label': 'neutral', 'score': 0.512373685836792}"
里边没有任何让人心神不宁的内容,positive,里边 没有 任何 让 人 心神不宁 的 内容,"{'label': 'negative', 'score': 0.6006729602813721}"
绝对健康,positive,绝对 健康,"{'label': 'positive', 'score': 0.7500466704368591}"
那我也不干,negative,那 我 也 不 干,"{'label': 'negative', 'score': 0.752868115901947}"
你会干的,negative,你 会 干 的,"{'label': 'positive', 'score': 0.6451018452644348}"
因为你已经相信真的没有人听你的节目,positive,因为 你 已经 相信 真的 没有 人 听 你 的 节目,"{'label': 'negative', 'score': 0.6523369550704956}"
所以你读什么都无所谓,positive,所以 你 读 什么 都 无所谓,"{'label': 'neutral', 'score': 0.4828718304634094}"
自己慢慢无聊过,negative,自己 慢慢 无聊 过,"{'label': 'negative', 'score': 0.3695034682750702}"
你好,negative,你好,"{'label': 'neutral', 'score': 0.6124148368835449}"
死推销的,negative,死 推销 的,"{'label': 'negative', 'score': 0.8860401511192322}"
别来烦我,negative,别 来 烦 我,"{'label': 'neutral', 'score': 0.45081380009651184}"
我叫张伟,negative,我 叫 张伟,"{'label': 'positive', 'score': 0.6085898876190186}"
我是一名律师,negative,我 是 一 名 律师,"{'label': 'neutral', 'score': 0.49361053109169006}"
你想推销什么,negative,你 想 推销 什么,"{'label': 'negative', 'score': 0.4488108158111572}"
法律援助还是离婚服务,negative,法律 援助 还是 离婚 服务,"{'label': 'neutral', 'score': 0.9325703978538513}"
我真的是一名律师,negative,我 真的 是 一 名 律师,"{'label': 'negative', 'score': 0.7136768698692322}"
我是代表秦羽墨小姐上来跟您谈一下关于他部分遗留私人财产的归属问题,neutral,我 是 代表 秦 羽墨 小姐 上来 跟 您 谈 一下 关于 他 部分 遗留 私人 财产 的 归属 问题,"{'label': 'neutral', 'score': 0.8720967769622803}"
你说的是昨天来过小妞,negative,你 说 的 是 昨天 来 过 小妞,"{'label': 'neutral', 'score': 0.6041680574417114}"
确切的来说是小姐 秦小姐跟我说他有一些东西被你非法占有,neutral,确切 的 来说 是 小姐 秦 小姐 跟 我 说 他 有 一些 东西 被 你 非法 占有,"{'label': 'negative', 'score': 0.8373162746429443}"
因此他非常不满,neutral,因此 他 非常 不满,"{'label': 'neutral', 'score': 0.6214644908905029}"
所以他特地委托我来跟你交涉一下,neutral,所以 他 特地 委托 我 来 跟 你 交涉 一下,"{'label': 'neutral', 'score': 0.7229531407356262}"
你知道根据中华人民共和国的物权法,neutral,你 知道 根据 中华 人民 共和国 的 物权法,"{'label': 'neutral', 'score': 0.5369014143943787}"
别给我整那些没用的,neutral,别 给 我 整 那些 没用 的,"{'label': 'negative', 'score': 0.935900092124939}"
你以为我不知道 老子是交大法学院毕业的,negative,你 以为 我 不 知道 老子 是 交大 法学院 毕业 的,"{'label': 'negative', 'score': 0.8001794815063477}"
不行啊,negative,不行 啊,"{'label': 'negative', 'score': 0.6138476133346558}"
看得出看得出一看就是同行,negative,看 得出 看 得出 一 看 就是 同行,"{'label': 'positive', 'score': 0.4968429505825043}"
谁跟你他妈同行 老子毕业三年都找不到工作,negative,谁 跟 你 他 妈 同行 老子 毕业 三年 都 找 不 到 工作,"{'label': 'negative', 'score': 0.8542078137397766}"
早改行了,negative,早 改行 了,"{'label': 'neutral', 'score': 0.6674479246139526}"
现在健美教练 怎么不像啊,negative,现在 健美 教练 怎么 不 像 啊,"{'label': 'neutral', 'score': 0.41477036476135254}"
看得出 也看得出来,negative,看 得出 也 看 得 出来,"{'label': 'neutral', 'score': 0.6160780787467957}"
其实我们完全可以私下调解,negative,其实 我们 完全 可以 私下 调解,"{'label': 'neutral', 'score': 0.8232224583625793}"
免得事情闹大,negative,免得 事情 闹 大,"{'label': 'neutral', 'score': 0.7783865928649902}"
关于秦小姐的财产问题,negative,关于 秦 小姐 的 财产 问题,"{'label': 'neutral', 'score': 0.8181676864624023}"
你哪只眼睛看你财产是他的了,negative,你 哪 只 眼睛 看 你 财产 是 他 的 了,"{'label': 'negative', 'score': 0.931503176689148}"
这个很显然啊,negative,这个 很 显然 啊,"{'label': 'neutral', 'score': 0.6872997879981995}"
有证据吗,negative,有 证据 吗,"{'label': 'negative', 'score': 0.6869601011276245}"
听着,negative,听 着,"{'label': 'neutral', 'score': 0.48746854066848755}"
你我都是有身份的人,negative,你 我 都 是 有 身份 的 人,"{'label': 'negative', 'score': 0.500908613204956}"
完全可以用一种协商的方式来解决问题,negative,完全 可以 用 一 种 协商 的 方式 来 解决 问题,"{'label': 'neutral', 'score': 0.872022807598114}"
可是你这样的态度我很失望,negative,可是 你 这样 的 态度 我 很 失望,"{'label': 'negative', 'score': 0.9390947222709656}"
要知道我是一名专业的律师,negative,要 知道 我 是 一 名 专业 的 律师,"{'label': 'positive', 'score': 0.43456828594207764}"
如果你拒绝配合的话,negative,如果 你 拒绝 配合 的话,"{'label': 'neutral', 'score': 0.7790492177009583}"
我只能采用一些必要的行动,negative,我 只能 采用 一些 必要 的 行动,"{'label': 'negative', 'score': 0.6439050436019897}"
我倒要看看你能采取什么行动,negative,我 倒 要 看看 你 能 采取 什么 行动,"{'label': 'negative', 'score': 0.8006548285484314}"
关谷你帮我看看,negative,关谷 你 帮 我 看看,"{'label': 'negative', 'score': 0.44363880157470703}"
我是不是发烧了,negative,我 是 不是 发烧 了,"{'label': 'negative', 'score': 0.9176839590072632}"
说不定我一会会拉肚子,negative,说不定 我 一会 会 拉肚子,"{'label': 'negative', 'score': 0.6786609292030334}"
你脸色很好,negative,你 脸色 很 好,"{'label': 'neutral', 'score': 0.49209022521972656}"
细腻红润有光泽,negative,细腻 红润 有 光泽,"{'label': 'positive', 'score': 0.6406052112579346}"
不像啊,negative,不 像 啊,"{'label': 'neutral', 'score': 0.4684516191482544}"
啊哈 真的呀,negative,啊哈 真的 呀,"{'label': 'positive', 'score': 0.741150438785553}"
我觉得我有内伤的,negative,我 觉得 我 有 内伤 的,"{'label': 'negative', 'score': 0.9618143439292908}"
悠悠,negative,悠悠,"{'label': 'negative', 'score': 0.6580489277839661}"
你是在装病吧,negative,你 是 在 装病 吧,"{'label': 'negative', 'score': 0.6935967803001404}"
不装我能怎么办,negative,不 装 我 能 怎么办,"{'label': 'negative', 'score': 0.8924146294593811}"
我光着鞋在地上走了一整天,negative,我 光 着 鞋 在 地上 走 了 一整天,"{'label': 'negative', 'score': 0.9147341847419739}"
喝了三斤的自来水,negative,喝 了 三 斤 的 自来水,"{'label': 'negative', 'score': 0.8615609407424927}"
还吃了过期的巧克力,negative,还 吃 了 过期 的 巧克力,"{'label': 'negative', 'score': 0.8125503659248352}"
可是一点儿事儿都没有,negative,可是 一点儿 事儿 都 没有,"{'label': 'negative', 'score': 0.8850489258766174}"
什么,negative,什么,"{'label': 'negative', 'score': 0.48832687735557556}"
可你为什么要让自己生病呢,negative,可 你 为什么 要 让 自己 生病 呢,"{'label': 'negative', 'score': 0.8414458632469177}"
这我能想出来唯一可以活着度过星期六的办法了,negative,这 我 能 想 出来 唯一 可以 活 着 度过 星期六 的 办法 了,"{'label': 'negative', 'score': 0.8580230474472046}"
如果你生病了,negative,如果 你 生病 了,"{'label': 'negative', 'score': 0.6599438786506653}"
你就会错过三场演出,negative,你 就 会 错过 三 场 演出,"{'label': 'neutral', 'score': 0.5374041795730591}"
所谓天将降大任于斯人也,neutral,所谓 天 将 降 大任于斯人 也,"{'label': 'neutral', 'score': 0.7165675163269043}"
必先劳其筋骨,neutral,必先 劳其筋骨,"{'label': 'neutral', 'score': 0.7527357935905457}"
是斯人 不是屎人,negative,是 斯人 不是 屎 人,"{'label': 'negative', 'score': 0.8744071125984192}"
我的意思是忙才显得你重要嘛,negative,我 的 意思 是 忙 才 显得 你 重要 嘛,"{'label': 'neutral', 'score': 0.733339786529541}"
当个替补就那么折腾 我要真当了主角那还了得,negative,当 个 替补 就 那么 折腾 我 要 真当 了 主角 那 还 了得,"{'label': 'positive', 'score': 0.44760411977767944}"
其实现在很多事情都是双线的,neutral,其实 现在 很多 事情 都 是 双线 的,"{'label': 'neutral', 'score': 0.9476719498634338}"
电脑是双核的,neutral,电脑 是 双核 的,"{'label': 'neutral', 'score': 0.9148350358009338}"
手机是双卡双待的,neutral,手机 是 双卡双待 的,"{'label': 'neutral', 'score': 0.6945165991783142}"
你看我可以一边画画一边偷菜,positive,你 看 我 可以 一边 画画 一边 偷菜,"{'label': 'positive', 'score': 0.6200956702232361}"
你说我也可以是双核的,neutral,你 说 我 也 可以 是 双核 的,"{'label': 'positive', 'score': 0.4795464873313904}"
我觉得这次话剧演出对你是个很重要的机会,neutral,我 觉得 这次 话剧 演出 对 你 是 个 很 重要 的 机会,"{'label': 'neutral', 'score': 0.9271734356880188}"
很多足球明星都是这样的,neutral,很多 足球 明星 都 是 这样 的,"{'label': 'neutral', 'score': 0.7060297727584839}"
因为主力受伤替补出场,neutral,因为 主力 受伤 替补 出场,"{'label': 'neutral', 'score': 0.8855712413787842}"
才一球成名,neutral,才 一球 成名,"{'label': 'negative', 'score': 0.5448801517486572}"
可是我跑到了禁区,negative,可是 我 跑到 了 禁区,"{'label': 'negative', 'score': 0.8651374578475952}"
突然有三个球场到了我面前,negative,突然 有 三 个 球场 到 了 我 面前,"{'label': 'positive', 'score': 0.42399486899375916}"
你说我应该怎么办,negative,你 说 我 应该 怎么办,"{'label': 'negative', 'score': 0.8537570834159851}"
悠悠,negative,悠悠,"{'label': 'negative', 'score': 0.6580489277839661}"
这三场演出是在同一个时候吗,negative,这 三 场 演出 是 在 同一个 时候 吗,"{'label': 'neutral', 'score': 0.8689634203910828}"
那倒也不是,negative,那 倒 也 不是,"{'label': 'neutral', 'score': 0.6260470747947693}"
有一场是比较早开始的,negative,有 一 场 是 比较 早 开始 的,"{'label': 'neutral', 'score': 0.7461510896682739}"
还有一场我要等到第二幕才上台,negative,还有 一 场 我 要 等到 第二 幕 才 上台,"{'label': 'positive', 'score': 0.48298266530036926}"
行,neutral,行,"{'label': 'negative', 'score': 0.4405975937843323}"
那我们就演那两场,neutral,那 我们 就 演 那 两 场,"{'label': 'positive', 'score': 0.3691830635070801}"
还有一场我们找女一号谈一谈吧,positive,还有 一 场 我们 找女 一号 谈一谈 吧,"{'label': 'neutral', 'score': 0.5627109408378601}"
让她演你的替补,positive,让 她 演 你 的 替补,"{'label': 'negative', 'score': 0.6942049264907837}"
好主意,positive,好 主意,"{'label': 'negative', 'score': 0.7037016153335571}"
可我就是来替补她的呀,negative,可 我 就是 来 替补 她 的 呀,"{'label': 'negative', 'score': 0.5962797999382019}"
关键时刻 不分彼此,neutral,关键 时刻 不分彼此,"{'label': 'negative', 'score': 0.7596798539161682}"
这才是和谐社会吗,neutral,这才 是 和谐 社会 吗,"{'label': 'negative', 'score': 0.5203642845153809}"
这是我能想到唯一可以让你活着度过星期六的方法,neutral,这是 我 能 想到 唯一 可以 让 你 活 着 度过 星期六 的 方法,"{'label': 'neutral', 'score': 0.8437267541885376}"
朱迪 朱迪,negative,朱迪 朱迪,"{'label': 'neutral', 'score': 0.6476242542266846}"
今天的节目到此结束,negative,今天 的 节目 到 此 结束,"{'label': 'neutral', 'score': 0.8053079843521118}"
谢谢收听,negative,谢谢 收听,"{'label': 'positive', 'score': 0.574507474899292}"
再见,negative,再见,"{'label': 'neutral', 'score': 0.4820288419723511}"
节目做完了,positive,节目 做 完了,"{'label': 'neutral', 'score': 0.597619354724884}"
搞了半天还没开始,negative,搞 了 半天 还 没 开始,"{'label': 'negative', 'score': 0.8525633811950684}"
朱迪你做我的电话编辑有两年了,negative,朱迪 你 做 我 的 电话 编辑 有 两 年 了,"{'label': 'neutral', 'score': 0.5230326056480408}"
你觉得我昨天的节目怎么样,neutral,你 觉得 我 昨天 的 节目 怎么样,"{'label': 'positive', 'score': 0.6049261093139648}"
很好,negative,很 好,"{'label': 'neutral', 'score': 0.4555278420448303}"
和往常一样,negative,和 往常 一样,"{'label': 'neutral', 'score': 0.5897411704063416}"
音乐优美,negative,音乐 优美,"{'label': 'positive', 'score': 0.7251109480857849}"
内容充实,negative,内容 充实,"{'label': 'neutral', 'score': 0.5083364248275757}"
主题明确,negative,主题 明确,"{'label': 'neutral', 'score': 0.7915076613426208}"
昨天晚上开设了一个新的板块,negative,昨天 晚上 开设 了 一个 新 的 板块,"{'label': 'neutral', 'score': 0.9074336290359497}"
叫小贤讲故事,negative,叫 小贤 讲 故事,"{'label': 'positive', 'score': 0.6428793668746948}"
你没发现吗,negative,你 没 发现 吗,"{'label': 'negative', 'score': 0.5548135042190552}"
发现了 故事很感人,negative,发现 了 故事 很 感人,"{'label': 'neutral', 'score': 0.5365159511566162}"
真的很感人,negative,真的 很 感人,"{'label': 'negative', 'score': 0.7025715708732605}"
尤其是结尾,neutral,尤其是 结尾,"{'label': 'neutral', 'score': 0.4760359227657318}"
我听得都哭了,neutral,我 听 得 都 哭 了,"{'label': 'negative', 'score': 0.5265848636627197}"
曾小贤你在这我到处找你,neutral,曾 小贤 你 在 这 我 到处 找 你,"{'label': 'negative', 'score': 0.9493808746337891}"
Lisa 你终于来了,positive,Lisa 你 终于 来 了,"{'label': 'positive', 'score': 0.49932897090911865}"
告诉我你现在很愤怒对不对,positive,告诉 我 你 现在 很 愤怒 对 不对,"{'label': 'negative', 'score': 0.8864831924438477}"
说说你听了我的节目,positive,说说 你 听 了 我 的 节目,"{'label': 'neutral', 'score': 0.5254473090171814}"
哪怕你处分我开除我都没有关系,negative,哪怕 你 处分 我 开除 我 都 没有 关系,"{'label': 'negative', 'score': 0.9477549195289612}"
当然听了你的节目太好了,neutral,当然 听 了 你 的 节目 太 好 了,"{'label': 'positive', 'score': 0.7150917649269104}"
说的怎么样,positive,说 的 怎么样,"{'label': 'negative', 'score': 0.5870436429977417}"
骂我,positive,骂 我,"{'label': 'negative', 'score': 0.869110643863678}"
你骂我,positive,你 骂 我,"{'label': 'negative', 'score': 0.8988808989524841}"
你的故事很老套,negative,你 的 故事 很 老套,"{'label': 'neutral', 'score': 0.5233309864997864}"
结局女主角太惨了,negative,结局 女 主角 太 惨 了,"{'label': 'negative', 'score': 0.8798207640647888}"
Lisa昨天我的节目根本没有女主角,negative,Lisa 昨天 我 的 节目 根本 没有 女 主角,"{'label': 'neutral', 'score': 0.667390763759613}"
你说这么重口味的故事,negative,你 说 这么 重 口味 的 故事,"{'label': 'positive', 'score': 0.5833163857460022}"
你得考虑听众的年龄层,neutral,你 得 考虑 听众 的 年龄层,"{'label': 'neutral', 'score': 0.8144594430923462}"
不过 好吧,neutral,不过 好 吧,"{'label': 'neutral', 'score': 0.5451940894126892}"
下不为例,neutral,下不为例,"{'label': 'neutral', 'score': 0.5285322666168213}"
你还是没有听我的节目对不对,negative,你 还是 没有 听 我 的 节目 对 不对,"{'label': 'negative', 'score': 0.895115315914154}"
胡说,negative,胡说,"{'label': 'negative', 'score': 0.8524096012115479}"
我是你的监制,negative,我 是 你 的 监制,"{'label': 'negative', 'score': 0.9173207879066467}"
